h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0.18116294,0.180435446,0.249367952,0.475628179,0.571436381,0.57432344,0.576498608,0.56821451,0.566531054,0.562369551,0.559250267,0.529639924,0.574962256,0.49353103,0.715313677,0.872210344,1.0,1.0,1.0,0.932973305,0.503495505,0.0,0.223440036
0.522002926,0.314627519,0.218219823,0.212211057,0.198227033,0.340507821,0.527276992,0.682056206,0.703583217,0.830986812,0.716250595,0.702274614,0.710184514,0.717068411,0.917096024,0.903571217,1.0,0.815096439,0.683556853,0.610982479,0.0,0.252500423,0.206939176
0.176611595,0.175840388,0.255555306,0.501617838,0.684498335,0.71870282,0.557936784,0.574637361,0.576219733,0.576023007,0.57763468,0.576385328,0.56050419,0.540553078,0.828444998,0.998992697,1.0,1.0,1.0,0.756494728,0.478808408,0.0,0.287481128
0.180894764,0.179121351,0.259688229,0.523400975,0.71870282,0.71537609,0.56949775,0.573624922,0.575921309,0.575847457,0.576383635,0.578802716,0.574313648,0.585761064,0.826930285,0.999450446,1.0,1.0,0.997817339,0.772372593,0.461212208,0.0,0.226510224
0.180413454,0.177684206,0.260964241,0.509564786,0.574216113,0.677250671,0.571022499,0.573955106,0.573624975,0.57110658,0.571483459,0.574461329,0.569194796,0.580895634,0.800892731,0.996010643,0.999820306,0.999820306,1.0,0.789117321,0.515606192,0.0,0.216391489
0.180570711,0.179935605,0.252580055,0.508018036,0.567424671,0.57587011,0.576991235,0.574343885,0.574052916,0.571447034,0.571748401,0.570606388,0.504484964,0.496644901,0.772682919,0.916696269,1.0,1.0,1.0,0.973529527,0.479648559,0.0,0.259583753
0.181335198,0.180668635,0.2536321,0.487112137,0.573416539,0.563520477,0.560919104,0.547067011,0.572263206,0.555750434,0.563714693,0.572731045,0.571959942,0.561465749,0.782432894,0.978202652,1.0,1.0,1.0,0.807432928,0.489532231,0.0,0.231627463
0.4642655,0.177229157,0.021360741,0.013445292,0.0,0.185595673,0.497415355,0.604517266,0.640520693,0.824961634,0.659749749,0.621786396,0.617300874,0.774613148,0.971126621,0.921220992,1.0,0.980195313,0.894891811,0.605697537,0.481774104,0.185595673,0.013026998
0.176436565,0.18115042,0.183829086,0.0,0.530739099,0.566089463,0.574962256,0.573745781,0.574962256,0.574962256,0.574962256,0.574962256,0.0,0.431221692,0.693704925,0.867053106,1.0,1.0,1.0,1.0,1.0,1.0,0.993334533
0.001699583,0.0,0.098222072,0.446442084,0.588935399,0.780185669,0.65665487,0.474302894,0.475366365,0.468839592,0.471029739,0.477772883,0.481119235,0.476344957,0.794713531,1.0,1.0,1.0,0.997820614,0.735624649,0.353503096,0.131859941,0.018456359
0.181202561,0.179953323,0.275042992,0.587531771,0.713863048,0.754377895,0.613997847,0.573382129,0.576459019,0.577380553,0.576081531,0.573025975,0.56904095,0.56382305,0.814959666,0.999885654,1.0,1.0,0.997449885,0.718410399,0.484308702,0.0,0.207852639
0.432613225,0.229465284,0.180944284,0.174884183,0.168488009,0.0,0.529785625,0.545348973,0.5746982,0.574188725,0.573655562,0.57320137,0.566053844,0.555023627,0.57322888,0.71560871,0.731633643,0.858722852,0.99519358,1.0,1.0,1.0,0.999967863
